,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
0,0,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.168105810880661,0.1792492798305242,0.3760995965388594,0.0520754435221354,"tensor(0.0570, device='cuda:0')",0.2062757700000002,0.0682769825027777,0.2253101456533295,0.0565501786768436,0.1966,0.0269372519105672,0.1045,0.001301237847656,0.1076,0.8884
1,0,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2119969576597213,0.1863006931512406,0.4503957717733328,0.032215254720052,"tensor(0.0816, device='cuda:0')",0.3040820533333326,0.0948265302005621,0.3255241967904362,0.0818373560905456,0.2991,0.0424944907426834,0.142,0.0019555448088794,0.1531,0.8884
2,0,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1526116877794265,0.180738639913358,0.353899889580605,0.0647056518554687,"tensor(0.0481, device='cuda:0')",0.1722330000000002,0.0585482235259421,0.1900723160474208,0.0475794300436973,0.1612,0.0225365962833166,0.0931999999999999,0.0010724092135205,0.0929999999999999,0.8884
3,0,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3227862119674682,0.2135647393193087,0.3427458867204865,0.1255747395833333,"tensor(0.0307, device='cuda:0')",0.1089844666666666,0.0393032176131892,0.1238795351042878,0.0306127592921257,0.1071999999999999,0.0137833338230848,0.0636999999999999,0.0006971855764277,0.0665999999999999,0.8884
4,0,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4615198373794555,0.1920391899712962,0.3499228875275705,0.0826535400390625,"tensor(0.0426, device='cuda:0')",0.1502344133333335,0.0525198627540429,0.1671733860834408,0.0424141101539135,0.1429,0.0192734040319919,0.0862,0.0009401235147379,0.0880999999999999,0.8884
5,0,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.336813747882843,0.2292045678322323,0.3480023396877438,0.151026611328125,"tensor(0.0268, device='cuda:0')",0.0952704066666666,0.0349332758686738,0.1093559003357323,0.0270811785012483,0.0963,0.0119878584519028,0.0555999999999999,0.0006218798225745,0.058,0.8884
6,1,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1684650629758834,0.1796228954664491,0.374877554477602,0.0518178304036458,"tensor(0.0574, device='cuda:0')",0.20557429,0.0687737018235395,0.2245860914948183,0.0571191310882568,0.1972,0.0327482968568801,0.1163999999999999,0.0014269970124587,0.1109,0.864
7,1,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.210618570446968,0.1856026495345087,0.4436820992349384,0.031345479329427,"tensor(0.0822, device='cuda:0')",0.2994336100000004,0.0954089017132494,0.3207891474972954,0.0822125375270843,0.2913,0.0497115179896354,0.1525999999999999,0.0020766677334904,0.1413999999999999,0.864
8,1,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1535702049732208,0.181691664604486,0.3554403877640333,0.064653369140625,"tensor(0.0487, device='cuda:0')",0.1735491500000001,0.0592103595128017,0.1914389180197051,0.0483250841498374,0.167,0.0279171373695135,0.1037,0.0012002905132248,0.0988,0.864
9,1,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3217985928058624,0.214668897945141,0.3411956729848363,0.1278257486979166,"tensor(0.0302, device='cuda:0')",0.1062766133333334,0.0387258500525491,0.1210175057156409,0.0300677400082349,0.1046,0.0154204396530985,0.0646999999999999,0.0007095609325915,0.0665,0.864
10,1,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4762272536754608,0.1958343284581659,0.3591865360561856,0.083819140625,"tensor(0.0440, device='cuda:0')",0.1563647966666672,0.0540675017478341,0.1735645355265325,0.0437855906784534,0.153,0.025550041347742,0.0955,0.0010526339756324,0.0948,0.864
11,1,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3335707783699035,0.2301554992908014,0.3451592797963026,0.154401953125,"tensor(0.0259, device='cuda:0')",0.09123064,0.0338396877199635,0.1050618264992562,0.0258589200675487,0.0883,0.0121400132775306,0.054,0.000603710883297,0.0573,0.864
